Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37140.02466,38562.96062,38669.3749,39051.99597,39944.11143,39113.47165,38209.19543,39824.29092,39767.78939,39478.49433,41621.23267,39495.5578,37360.47577,37303.33269,39553.37407,39515.8146,39613.76247,40172.3172,40083.20968,35831.20431,34437.49417,35490.18398,34825.20404,36072.73142,36165.61478,35814.26144,35574.61783,35896.57795,
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23999.11428,25748.00441,26407.61433,27303.43229,28521.48713,28510.87711,28360.17362,30064.85538,30348.01804,30588.29198,32982.32601,32011.10353,30745.46731,31310.58613,34112.04475,35176.21223,36346.7893,37840.22908,38496.92658,34674.53902,33732.84387,35490.18398,35493.09606,37409.74073,38215.63765,38249.05144,38408.58313,39492.85908,
Aruba,ABW,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,20353.10644,23935.43901,28749.65209,32261.76432,32936.97405,34198.87964,34293.25126,34632.572,35423.72881,34687.09061,33885.14923,35317.46811,35267.36073,35010.80452,36911.05412,35025.93695,33132.47722,33081.80088,35077.2103,35043.90134,35130.76468,35626.10906,35547.08563,31776.26986,30540.28268,31473.84202,30884.11632,31990.46392,32072.83588,31761.24438,31548.72069,31834.24533,
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.60091302,20.11332687,12.21619037,2.092910106,3.831273603,0.275949465,0.989467955,2.284429865,-2.079504977,-2.311930349,4.226981166,-0.141877041,-0.727460766,5.427609068,-5.107188649,-5.405878901,-0.152950639,6.03174362,-0.094958957,0.247870046,1.410001712,-0.221813255,-10.60794633,-3.889654723,3.056813033,-1.873701026,3.582254325,0.257489118,-0.971512149,-0.669128988,0.905027625,
Aruba,ABW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,15669.61604,18427.61153,22134.01727,24837.95096,25357.78694,26329.31314,26401.96874,26663.20776,27272.31004,26705.181,26087.77581,27190.50118,27151.9241,26954.40451,28417.38421,26966.05479,25508.30252,25469.28741,27005.52953,26979.88536,27046.76042,27428.1202,27367.281,24464.17452,23512.6026,24231.3389,23777.31605,24629.07998,24692.49718,24452.60657,24288.9871,24508.80914,
Aruba,ABW,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,11585.77863,14115.57581,17478.97406,20392.4959,22030.08801,24157.84606,25143.24215,26736.9204,29071.47292,29426.44789,29689.0625,32090.67185,34150.23431,34647.60407,36911.05412,36997.56722,36582.02796,37292.43328,40400.25522,41707.07081,43041.89146,46245.80123,48484.01133,44089.38129,42087.55865,44721.86021,44230.18805,44782.77302,45695.84277,46175.52065,45200.43502,45922.63262,
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6472.502029,7885.796545,9764.789979,11392.45581,12307.31174,13496.00339,14046.504,14936.82704,16241.04632,16439.35636,16586.06844,17927.74964,19078.34319,19356.20339,20620.70063,20669.03197,20436.88713,20833.76161,22569.97499,23300.03956,24045.74942,25835.64314,27086.03985,24630.93927,23512.6026,24984.27945,24709.60226,25018.30895,25528.40378,25796.38025,25251.63968,25655.10202,
Aruba,ABW,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2308215392,2492015641,2638604796,2831425916,3063713347,3141750497,3179005059,3403025483,3470813355,3513783388,3781413852,3669058328,3548946314,3619057427,3905381496,3952806451,3994334897,4066241947,4062553550,3635183170,3501225595,3621879746,3572264955,3722236937,3753809986,3736895853,3729002590,3778617381,
Aruba,ABW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491520954,1663887541,1801923564,1979608055,2187598063,2290107693,2359566445,2569071957,2648683970,2722510928,2996543265,2973767495,2920573431,3037659134,3368120962,3518711686,3664919459,3830187987,3901779000,3517836007,3429584503,3621879746,3640775315,3860198917,3966592110,3990944276,4026064501,4157176318,
Aruba,ABW,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,1275000000,1480000000,1756000000,1969000000,2047000000,2210000000,2340000000,2511000000,2717000000,2786205866,2819244416,3017912968,3078029443,3116136656,3353480000,3253839491,3147320276,3209497076,3463418513,3505476495,3542305264,3606074759,3602803770,3223797906,3105000000,3212000000,3168000000,3301000000,3329000000,3314000000,3307000000,3351000000,
